,city,lat,lon,max temp,humidity,clouds,wind speed,country,date
99,la orilla,19.22,-104.7,89.6,62.0,5.0,2.93,MX,1970-01-01
100,sitka,-18.53,25.63,72.01,38.0,10.0,6.78,BW,1970-01-01
101,padang,-34.73,135.87,55.81,73.0,0.0,22.66,AU,1970-01-01
102,hobart,35.73,140.83,80.6,94.0,40.0,9.17,JP,1970-01-01
103,mahon,-3.72,-38.52,86.0,55.0,20.0,18.34,BR,1970-01-01
104,ballina,62.46,-114.35,51.01,81.0,75.0,16.11,CA,1970-01-01
105,sept-iles,-42.78,147.06,50.0,71.0,25.0,1.01,AU,1970-01-01
106,vardo,21.46,-71.14,87.8,66.0,20.0,16.11,TC,1970-01-01
107,san patricio,50.68,156.12,54.0,76.0,100.0,8.21,RU,1970-01-01
108,pandamatenga,28.17,94.77,74.79,87.0,88.0,1.59,IN,1970-01-01
109,port lincoln,57.79,-152.41,51.8,81.0,90.0,4.7,US,1970-01-01
110,hasaki,-17.64,-71.34,62.6,82.0,90.0,9.17,PE,1970-01-01
111,fortaleza,78.22,15.64,41.0,80.0,75.0,13.87,SJ,1970-01-01
112,yellowknife,73.51,80.55,41.68,82.0,0.0,12.19,RU,1970-01-01
113,new norfolk,-7.57,24.18,78.62,49.0,79.0,1.95,CD,1970-01-01
114,ust-kamchatsk,-33.87,121.9,44.6,87.0,46.0,10.29,AU,1970-01-01
115,cockburn town,39.05,-27.98,73.33,77.0,19.0,4.36,PT,1970-01-01
116,palabuhanratu,31.33,-89.29,88.0,62.0,20.0,6.93,US,1970-01-01
117,severo-kurilsk,-6.22,155.63,78.44,77.0,3.0,4.38,PG,1970-01-01
118,along,26.22,50.58,93.2,59.0,0.0,5.82,BH,1970-01-01
119,kodiak,-9.67,-35.74,73.4,94.0,90.0,9.17,BR,1970-01-01
120,ilo,46.43,26.4,71.01,75.0,59.0,3.22,RO,1970-01-01
121,longyearbyen,-13.7,-76.22,66.2,68.0,40.0,13.87,PE,1970-01-01
122,dikson,24.09,32.91,95.13,10.0,0.0,10.63,EG,1970-01-01
123,kaniama,-46.6,168.33,44.08,77.0,77.0,10.45,NZ,1970-01-01
124,esperance,-34.67,-54.92,52.0,100.0,90.0,20.8,UY,1970-01-01
125,lagoa,51.03,-4.22,62.01,93.0,100.0,10.0,GB,1970-01-01
126,hattiesburg,-34.0,24.73,64.0,54.0,37.0,3.0,ZA,1970-01-01
127,kieta,-20.22,-70.14,62.6,55.0,16.0,18.34,CL,1970-01-01
128,manama,-33.04,-71.63,60.8,51.0,3.0,4.7,CL,1970-01-01
129,maceio,55.53,58.25,49.21,75.0,76.0,14.29,RU,1970-01-01
130,asau,9.71,1.67,75.2,83.0,75.0,10.29,BJ,1970-01-01
131,pisco,65.28,-126.83,50.0,93.0,90.0,11.41,CA,1970-01-01
132,aswan,-34.48,-54.33,53.24,95.0,100.0,19.98,UY,1970-01-01
133,bluff,54.23,-125.75,51.39,84.0,80.0,2.89,CA,1970-01-01
134,maldonado,55.9,27.17,67.57,86.0,99.0,9.55,LV,1970-01-01
135,northam,-22.67,167.48,67.73,73.0,17.0,21.12,NC,1970-01-01
136,kruisfontein,68.38,17.6,57.2,71.0,75.0,8.05,NO,1970-01-01
137,amderma,68.05,39.51,52.5,72.0,44.0,14.27,RU,1970-01-01
138,iquique,52.63,29.73,73.18,70.0,100.0,10.8,BY,1970-01-01
139,valparaiso,-33.92,25.57,62.6,72.0,72.0,9.17,ZA,1970-01-01
140,mesyagutovo,46.68,113.28,47.1,85.0,0.0,0.92,MN,1970-01-01
